"","YEAR","COMMON_NAME","SPECIES_NAME","SPECIES_CODE","total_value"
"73",1950,"Boe drum","Pteroscion peli","DRS",0
"74",1950,"Bogue","Boops boops","BOG",0
"75",1950,"Bonga shad","Ethmalosa fimbriata","BOA",0
"76",1950,"Bramble shark","Echinorhinus brucus","SHB",0
"77",1950,"Broadtail shortfin squid","Illex coindetii","SQM",0
"78",1950,"Brown ray","Raja miraletus","JAI",0
"79",1950,"Brown seaweeds","Phaeophyceae","SWB",0
"80",1950,"Bullet tuna","Auxis rochei","BLT",0
"81",1950,"Butterfishes, pomfrets nei","Stromateidae","BUX",0
"82",1950,"Canary drum (=Baardman)",NA,NA,0
"83",1950,"Caramote prawn","Penaeus kerathurus","TGS",0
"84",1950,"Carangids nei","Carangidae","CGX",0
"85",1950,"Cardinalfishes, etc. nei","Apogonidae","APO",0
"86",1950,"Carpet shells nei","Ruditapes spp","TPS",0
"87",1950,"Carragheen (Irish) moss","Chondrus crispus","IMS",0
"88",1950,"Cartilaginous fishes nei","Chondrichthyes","CAR",0
"89",1950,"Catsharks, etc. nei","Scyliorhinidae","SYX",0
"90",1950,"Catsharks, nursehounds nei","Scyliorhinus spp","SCL",0
"91",1950,"Cephalopods nei","Cephalopoda","CEP",0
"92",1950,"Chaceon geryons nei","Chaceon spp","GER",0
"93",1950,"Chamber venus","Venus casina","KFA",0
"94",1950,"Clams, etc. nei","Bivalvia","CLX",0
"95",1950,"Clupeoids nei","Clupeiformes (=Clupeoidei)","CLU",0
"96",1950,"Comber","Serranus cabrilla","CBR",0
"97",1950,"Combers nei","Serranus spp","BAS",0
"98",1950,"Common European bittersweet","Glycymeris glycymeris","GKL",0
"99",1950,"Common carp","Cyprinus carpio","FCP",0
"100",1950,"Common cuttlefish","Sepia officinalis","CTC",0
"101",1950,"Common dentex","Dentex dentex","DEC",0
"102",1950,"Common dolphinfish","Coryphaena hippurus","DOL",0
"103",1950,"Common eagle ray","Myliobatis aquila","MYL",0
"104",1950,"Common mora","Mora moro","RIB",0
"105",1950,"Common octopus","Octopus vulgaris","OCC",0
"106",1950,"Common pandora","Pagellus erythrinus","PAC",0
"107",1950,"Common periwinkle","Littorina littorea","PEE",0
"108",1950,"Common prawn","Palaemon serratus","CPR",0
"109",1950,"Common shrimp","Crangon crangon","CSH",0
"110",1950,"Common spiny lobster","Palinurus elephas","SLO",0
"111",1950,"Common squids nei","Loligo spp","SQC",0
"112",1950,"Common stingray","Dasyatis pastinaca","JDP",0
"113",1950,"Common two-banded seabream","Diplodus vulgaris","CTB",0
"114",1950,"Copper shark","Carcharhinus brachyurus","BRO",0
"115",1950,"Crangonid shrimps nei","Crangonidae","CRN",8746
"116",1950,"Craylets, squat lobsters",NA,NA,0
"117",1950,"Crest-tail catsharks nei","Galeus spp","GAU",0
"118",1950,"Crevalle jack","Caranx hippos","CVJ",0
"119",1950,"Croakers, drums nei","Sciaenidae","CDX",0
"120",1950,"Crocodile shark","Pseudocarcharias kamoharai","PSK",0
"121",1950,"Crucian carp","Carassius carassius","FCC",0
"122",1950,"Cusk-eels nei","Genypterus spp","CEX",0
"123",1950,"Cuttlefish,bobtail squids nei",NA,NA,0
"124",1950,"Cyprinids nei","Cyprinidae","FCY",0
"125",1950,"Damselfish","Chromis chromis","CMK",0
"126",1950,"Dealfishes","Trachipterus spp","TRP",0
"127",1950,"Deep-sea red crab","Chaceon affinis","KEF",0
"128",1950,"Deep-water Cape hake","Merluccius paradoxus","HKO",0
"129",1950,"Deep-water rose shrimp","Parapenaeus longirostris","DPS",0
"130",1950,"Delta prawn","Palaemon longirostris","PIQ",0
"131",1950,"Demersal percomorphs nei","Perciformes","DPX",0
"132",1950,"Dentex nei","Dentex spp","DEX",0
"133",1950,"Devil fish","Mobula mobular","RMM",0
"134",1950,"Diadromous clupeoids nei","Clupeiformes (=Clupeoidei)","DCX",0
"135",1950,"Diadromous fishes nei","Actinopterygii","DIA",0
"136",1950,"Dogfish sharks nei","Squalidae","DGX",768
"137",1950,"Dogfish sharks, etc. nei","Squaliformes","SHX",7451
"138",1950,"Dogfishes and hounds nei","Squalidae, Scyliorhinidae","DGH",0
"139",1950,"Dogfishes nei","Squalus spp","DGZ",0
"140",1950,"Donax clams","Donax spp","DON",0
"141",1950,"Dusky grouper","Epinephelus marginatus","GPD",0
"142",1950,"Eagle rays",NA,NA,0
"143",1950,"Echinoderms","Echinodermata","ECH",0
"144",1950,"Edible crab","Cancer pagurus","CRE",4510
"145",1950,"Electric rays nei","Torpedinidae","TOD",0
"146",1950,"Elegant cuttlefish","Sepia elegans","EJE",0
"147",1950,"Escolar","Lepidocybium flavobrunneum","LEC",0
"148",1950,"European barracuda","Sphyraena sphyraena","YRS",0
"149",1950,"European common squid","Alloteuthis subulata","OUL",0
"150",1950,"European conger","Conger conger","COE",4682
"151",1950,"European flat oyster","Ostrea edulis","OYF",461
"152",1950,"European flounder","Platichthys flesus","FLE",0
"153",1950,"European flying squid","Todarodes sagittatus","SQE",0
"154",1950,"European lobster","Homarus gammarus","LBE",783
"155",1950,"European perch","Perca fluviatilis","FPE",0
"156",1950,"European razor clam","Solen marginatus","RAE",0
"157",1950,"European smelt","Osmerus eperlanus","SME",0
"158",1950,"European squid","Loligo vulgaris","SQR",0
"159",1950,"False scad","Caranx rhonchus","HMY",0
"160",1950,"Finfishes nei","Actinopterygii","FIN",52323
"161",1950,"Flat oysters nei","Ostrea spp","OYX",0
"162",1950,"Flatfishes nei","Pleuronectiformes","FLX",0
"163",1950,"Flathead grey mullet","Mugil cephalus","MUF",0
"164",1950,"Flyingfishes nei","Exocoetidae","FLY",0
"165",1950,"Forkbeard","Phycis phycis","FOR",0
"166",1950,"Forkbeards nei","Phycis spp","FOX",0
"167",1950,"Freshwater fishes nei","Osteichthyes","FRF",0
"168",1950,"Frigate and bullet tunas","Auxis thazard, A. rochei","FRZ",0
"169",1950,"Frigate tuna","Auxis thazard","FRI",0
"170",1950,"Garfish","Belone belone","GAR",3825
"171",1950,"Gastropods nei","Gastropoda","GAS",0
"172",1950,"Gelidium seaweeds","Gelidium spp","GEL",0
"173",1950,"Giant gelidium","Gelidium corneum","GEQ",0
"174",1950,"Giant red shrimp","Aristaeomorpha foliacea","ARS",0
"175",1950,"Giant tiger prawn","Penaeus monodon","GIT",0
"176",1950,"Gilthead seabream","Sparus aurata","SBG",0
"177",1950,"Glasseye","Heteropriacanthus cruentatus","HTU",0
"178",1950,"Gobies nei","Gobiidae","GPA",0
"179",1950,"Golden carpet shell","Polititapes aureus","VNA",0
"180",1950,"Goldfish","Carassius auratus","CGO",0
"181",1950,"Goose barnacles",NA,NA,0
"182",1950,"Great Atlantic scallop","Pecten maximus","SCE",63
"183",1950,"Greater amberjack","Seriola dumerili","AMB",0
"184",1950,"Greater weever","Trachinus draco","WEG",0
"185",1950,"Green crab","Carcinus maenas","CRG",0
"186",1950,"Greenland cod","Gadus ogac","GRC",0
"187",1950,"Greenland shark","Somniosus microcephalus","GSK",0
"188",1950,"Grenadiers nei","Macrourus spp","GRV",0
"189",1950,"Grenadiers, rattails nei","Macrouridae","RTX",0
"190",1950,"Grey triggerfish","Balistes capriscus","TRG",0
"191",1950,"Grooved carpet shell","Ruditapes decussatus","CTG",0
"192",1950,"Groundfishes nei","Actinopterygii","GRO",0
"193",1950,"Groupers nei","Epinephelus spp","GPX",0
"194",1950,"Groupers, seabasses nei","Serranidae","BSX",0
"195",1950,"Grunts, sweetlips nei","Haemulidae (=Pomadasyidae)","GRX",0
"196",1950,"Guitarfishes nei","Rhinobatos spp","GUZ",0
"197",1950,"Gulper shark","Centrophorus granulosus","GUP",0
"198",1950,"Gurnards nei","Trigla spp","GUY",0
"199",1950,"Gurnards, searobins nei","Triglidae","GUX",2441
"200",1950,"Hairtails, cutlassfishes nei",NA,NA,0
"201",1950,"Hakes nei","Merluccius spp","HKX",0
"202",1950,"Halfspined flathead","Ratabulus prionotus","SRQ",0
"203",1950,"Hammerhead sharks nei","Sphyrna spp","SPN",0
"204",1950,"Hapuku wreckfish","Polyprion oxygeneios","WHA",0
"205",1950,"Hard clams nei","Meretrix spp","HCX",0
"206",1950,"Horned octopus","Eledone cirrhosa","EOI",0
"207",1950,"Imperial blackfish","Schedophilus ovalis","HDV",0
"208",1950,"Indian white prawn","Penaeus indicus","PNI",0
"209",1950,"Inshore squids nei","Loliginidae","SQZ",0
"210",1950,"Jacks, crevalles nei","Caranx spp","TRE",0
"211",1950,"Japanese carpet shell","Ruditapes philippinarum","CLJ",0
"212",1950,"John dory","Zeus faber","JOD",0
"213",1950,"Kelps nei","Laminariaceae","LAZ",0
"214",1950,"King crabs","Paralithodes spp","KCS",0
"215",1950,"Kingklip","Genypterus capensis","KCP",0
"216",1950,"Knifetooth dogfish","Scymnodon ringens","SYR",0
"217",1950,"Knobbed triton","Charonia lampas","KRJ",0
"218",1950,"Kuruma prawn","Penaeus japonicus","KUP",0
"219",1950,"Lampreys nei","Petromyzontidae","LAS",0
"220",1950,"Lanternsharks nei","Etmopterus spp","SHL",0
"221",1950,"Large-eye dentex","Dentex macrophthalmus","DEL",0
"222",1950,"Large-scaled gurnard","Lepidotrigla cavillone","LDV",0
"223",1950,"Largehead hairtail","Trichiurus lepturus","LHT",0
"224",1950,"Leerfish","Lichia amia","LEE",0
"225",1950,"Lefteye flounders nei","Bothidae","LEF",0
"226",1950,"Lesser slipper lobster","Scyllarus arctus","SCY",0
"227",1950,"Limpets nei","Patella spp","LPZ",0
"228",1950,"Lings nei","Molva spp","LNZ",0
"229",1950,"Lithothamnion","Lithothamnion spp","LIT",0
"230",1950,"Little sleeper shark","Somniosus rostratus","SOR",0
"231",1950,"Little tunny(=Atl.black skipj)","Euthynnus alletteratus","LTA",0
"232",1950,"Lobsters nei","Reptantia","LOX",0
"233",1950,"Longfin gurnard","Chelidonichthys obscurus","GUM",0
"234",1950,"Longfin squid","Doryteuthis pealeii","SQL",0
"235",1950,"Longnose velvet dogfish","Centroselachus crepidater","CYP",0
"236",1950,"Longnosed skate","Dipturus oxyrinchus","RJO",0
"237",1950,"Longspine snipefish","Macroramphosus scolopax","SNS",0
"238",1950,"Lowfin gulper shark",NA,NA,0
"239",1950,"Lumpfish(=Lumpsucker)","Cyclopterus lumpus","LUM",0
"240",1950,"Lusitanian toadfish","Halobatrachus didactylus","BHD",0
"241",1950,"Mackerel sharks,porbeagles nei","Lamnidae","MSK",0
"242",1950,"Mactra surf clams nei","Mactridae","MAT",0
"243",1950,"Mako sharks","Isurus spp","MAK",0
"244",1950,"Marbled electric ray","Torpedo marmorata","TTR",0
"245",1950,"Marine crabs nei","Brachyura","CRA",0
"246",1950,"Marine crustaceans nei","Crustacea","CRU",0
"247",1950,"Marine fishes nei","Actinopterygii","MZZ",0
"248",1950,"Marine molluscs nei","Mollusca","MOL",10823
"249",1950,"Marine worms","Polychaeta","WOR",0
"250",1950,"Marlins,sailfishes,etc. nei","Istiophoridae","BIL",0
"251",1950,"Marphysa sanguinea",NA,NA,0
"252",1950,"Mature dosinia","Dosinia exoleta","DSX",0
"253",1950,"Meagre","Argyrosomus regius","MGR",0
"254",1950,"Mediterranean horse mackerel","Trachurus mediterraneus","HMM",0
"255",1950,"Mediterranean moray","Muraena helena","MMH",0
"256",1950,"Mediterranean mussel","Mytilus galloprovincialis","MSM",0
"257",1950,"Mediterranean scaldfish","Arnoglossus laterna","MSF",0
"258",1950,"Mediterranean slimehead","Hoplostethus mediterraneus","HPR",0
"259",1950,"Mediterranean slipper lobster","Scyllarides latus","YLL",0
"260",1950,"Mediterranean spearfish","Tetrapturus belone","MSP",0
"261",1950,"Melanocharacidium blennioides",NA,NA,0
"262",1950,"Monrovia doctorfish","Acanthurus monroviae","MDO",0
"263",1950,"Moras nei","Moridae","MOR",0
"264",1950,"Morays",NA,NA,0
"265",1950,"Morocco dentex","Dentex maroccanus","DEM",0
"266",1950,"Mottled grouper","Mycteroperca rubra","MKU",0
"267",1950,"Mugil spp",NA,NA,0
"268",1950,"Mullets nei","Mugilidae","MUL",0
"269",1950,"Murex","Murex spp","MUE",0
"270",1950,"Musky octopus","Eledone moschata","EDT",0
"271",1950,"Mytilus spp",NA,NA,0
"272",1950,"Narrow-barred Spanish mackerel","Scomberomorus commerson","COM",0
"273",1950,"Navaga(=Wachna cod)","Eleginus nawaga","COW",0
"274",1950,"Neon flying squid","Ommastrephes bartramii","OFJ",0
"275",1950,"North Atlantic rockweed","Ascophyllum nodosum","ASN",0
"276",1950,"North European kelp","Laminaria hyperborea","LAH",0
"277",1950,"Northern bluefin tuna",NA,NA,4962
"278",1950,"Northern cods nei","Gadus spp","CDZ",0
"279",1950,"Northern pike","Esox lucius","FPI",0
"280",1950,"Northern quahog(=Hard clam)","Mercenaria mercenaria","CLH",0
"281",1950,"Northern shortfin squid","Illex illecebrosus","SQI",0
"282",1950,"Norwegian egg cockle","Laevicardium crassum","LVC",0
"283",1950,"Ocean sunfish","Mola mola","MOX",0
"284",1950,"Oceanic whitetip shark","Carcharhinus longimanus","OCS",0
"285",1950,"Octopuses","Octopodidae","OCT",0
"286",1950,"Octopuses nei","Octopus spp","OCZ",0
"287",1950,"Offshore rockfish","Pontinus kuhlii","POI",0
"288",1950,"Oilfish","Ruvettus pretiosus","OIL",0
"289",1950,"Opah","Lampris guttatus","LAG",0
"290",1950,"Ornate wrasse","Thalassoma pavo","TMP",0
"291",1950,"Oval surf clam",NA,NA,0
"292",1950,"Palaemonid shrimps nei","Palaemonidae","PAL",0
"293",1950,"Pandalid shrimps nei","Pandalidae","PDZ",0
"294",1950,"Pandalus shrimps nei","Pandalus spp","PAN",0
"295",1950,"Pandoras nei","Pagellus spp","PAX",0
"296",1950,"Pargo breams nei","Pagrus spp","SBP",0
"297",1950,"Parrotfish","Sparisoma cretense","PRR",0
"298",1950,"Patagonian toothfish","Dissostichus eleginoides","TOP",0
"299",1950,"Pelagic percomorphs nei","Perciformes","PPX",0
"300",1950,"Penaeid shrimps nei","Penaeidae","PEZ",0
"301",1950,"Penaeus shrimps nei","Penaeus spp","PEN",0
"302",1950,"Peppery furrow","Scrobicularia plana","OBN",0
"303",1950,"Percoids nei","Percoidei (Perciformes)","PRC",0
"304",1950,"Periwinkles nei","Littorina spp","PER",78
"305",1950,"Picarel","Spicara smaris","SPC",0
"306",1950,"Picarels nei","Spicara spp","PIC",0
"307",1950,"Picked dogfish",NA,NA,0
"308",1950,"Pike-perch","Sander lucioperca","FPP",0
"309",1950,"Pink cuttlefish","Sepia orbignyana","IAR",0
"310",1950,"Pink dentex","Dentex gibbosus","DEP",0
"311",1950,"Pink spiny lobster","Palinurus mauritanicus","PSL",0
"312",1950,"Piper gurnard","Trigla lyra","GUN",0
"313",1950,"Plain bonito","Orcynopsis unicolor","BOP",0
"314",1950,"Polar cod","Boreogadus saida","POC",0
"315",1950,"Pomadasys spp",NA,NA,0
"316",1950,"Pompano","Trachinotus ovatus","POP",0
"317",1950,"Pompanos nei","Trachinotus spp","POX",0
"318",1950,"Poor cod","Trisopterus minutus","POD",0
"319",1950,"Porgies, seabreams nei","Sparidae","SBX",6023
"320",1950,"Portunus swimcrabs nei","Portunus spp","CRS",0
"321",1950,"Precious corals nei","Corallium spp","COR",0
"322",1950,"Pullet carpet shell",NA,NA,0
"323",1950,"Purple dye murex","Bolinus brandaris","BOY",0
"324",1950,"Queen scallop","Aequipecten opercularis","QSC",0
"325",1950,"Rabbit fish","Chimaera monstrosa","CMO",0
"326",1950,"Rainbow trout","Oncorhynchus mykiss","TRR",0
"327",1950,"Ratfishes nei","Hydrolagus spp","HYD",0
"328",1950,"Rays, stingrays, mantas nei","Rajiformes","SRX",0
"329",1950,"Razor clams nei",NA,NA,0
"330",1950,"Razor clams, knife clams nei","Solenidae","SOI",0
"331",1950,"Red bandfish","Cepola macrophthalma","CBC",0
"332",1950,"Red crab","Chaceon quinquedens","CRR",0
"333",1950,"Red hake","Urophycis chuss","HKR",0
"334",1950,"Red mullet","Mullus barbatus","MUT",0
"335",1950,"Red pandora","Pagellus bellottii","PAR",0
"336",1950,"Red porgy","Pagrus pagrus","RPG",0
"337",1950,"Red scorpionfish","Scorpaena scrofa","RSE",0
"338",1950,"Red seaweeds","Rhodophyta","SWR",0
"339",1950,"Red swamp crawfish","Procambarus clarkii","RCW",0
"340",1950,"Redbanded seabream","Pagrus auriga","REA",0
"341",1950,"Redspotted shrimp","Penaeus brasiliensis","PNB",0
"342",1950,"Requiem sharks nei","Carcharhinidae","RSK",0
"343",1950,"River eels nei","Anguilla spp","ELX",0
"344",1950,"Roaches nei","Rutilus spp","FRX",0
"345",1950,"Rock cook","Centrolabrus exoletus","ENX",0
"346",1950,"Rocklings nei","Gaidropsarus spp","ROL",0
"347",1950,"Rough limpet","Patella ulyssiponensis","LQY",0
"348",1950,"Rough longnose dogfish",NA,NA,0
"349",1950,"Roughtail stingray","Bathytoshia centroura","RDC",0
"350",1950,"Round sardinella","Sardinella aurita","SAA",0
"351",1950,"Royal spiny lobster","Panulirus regius","LOY",0
"352",1950,"Rubberlip grunt","Plectorhinchus mediterraneus","GBR",0
"353",1950,"Ruffs, barrelfishes nei","Centrolophidae","CEN",0
"354",1950,"Saddled seabream","Oblada melanurus","SBS",0
"355",1950,"Salema","Sarpa salpa","SLM",0
"356",1950,"Salmonoids nei","Salmoniformes (=Salmonoidei)","SLX",0
"357",1950,"Salps","Salpidae","SPX",0
"358",1950,"Sand smelt","Atherina presbyter","ATP",0
"359",1950,"Sand sole","Pegusa lascaris","SOS",0
"360",1950,"Sand steenbras","Lithognathus mormyrus","SSB",0
"361",1950,"Sandbar shark","Carcharhinus plumbeus","CCP",0
"362",1950,"Sardinellas nei","Sardinella spp","SIX",0
"363",1950,"Sargo breams nei","Diplodus spp","SRG",0
"364",1950,"Sauries nei","Scomberesocidae","SAX",0
"365",1950,"Scalloped hammerhead","Sphyrna lewini","SPL",0
"366",1950,"Scallops nei","Pectinidae","SCX",0
"367",1950,"Scarlet shrimp","Aristaeopsis edwardsiana","SSH",0
"368",1950,"Scorpionfishes nei",NA,NA,0
"369",1950,"Scorpionfishes, rockfishes nei","Scorpaena spp","SCS",0
"370",1950,"Sculpins","Myoxocephalus spp","SCU",0
"371",1950,"Scup","Stenotomus chrysops","SCP",0
"372",1950,"Sea catfishes nei","Ariidae","CAX",0
"373",1950,"Sea cucumbers nei","Holothuroidea","CUX",0
"374",1950,"Sea lamprey","Petromyzon marinus","LAU",0
"375",1950,"Sea urchins, etc. nei","Echinoidea","URX",0
"376",1950,"Seabasses nei","Dicentrarchus spp","BSE",0
"377",1950,"Seaweeds nei","Algae","SWX",0
"378",1950,"Seerfishes nei","Scomberomorus spp","KGX",0
"379",1950,"Senegalese hake","Merluccius senegalensis","HKM",0
"380",1950,"Senegalese sole","Solea senegalensis","OAL",0
"381",1950,"Shads nei","Alosa spp","SHZ",0
"382",1950,"Sharks, rays, skates, etc. nei","Elasmobranchii","SKX",0
"383",1950,"Sharpnose sevengill shark","Heptranchias perlo","HXT",0
"384",1950,"Sharpsnout seabream","Diplodus puntazzo","SHR",0
"385",1950,"Shi drum","Umbrina cirrosa","COB",0
"386",1950,"Shortfin mako","Isurus oxyrinchus","SMA",0
"387",1950,"Shortfin squids nei","Illex spp","ILL",0
"388",1950,"Silky shark","Carcharhinus falciformis","FAL",0
"389",1950,"Silver hake","Merluccius bilinearis","HKS",0
"390",1950,"Silver scabbardfish","Lepidopus caudatus","SFS",0
"391",1950,"Silversides(=Sand smelts) nei","Atherinidae","SIL",0
"392",1950,"Silvery John dory","Zenopsis conchifer","JOS",0
"393",1950,"Skipjack tuna","Katsuwonus pelamis","SKJ",0
"394",1950,"Slimeheads nei","Trachichthyidae","TRC",0
"395",1950,"Slipper lobsters nei","Scyllaridae","LOS",0
"396",1950,"Smooth callista","Callista chione","KLK",0
"397",1950,"Smooth hammerhead","Sphyrna zygaena","SPZ",0
"398",1950,"Smooth-hound","Mustelus mustelus","SMD",0
"399",1950,"Snake mackerels, escolars nei","Gempylidae","GEP",0
"400",1950,"Snappers nei","Lutjanus spp","SNA",0
"401",1950,"Snipefishes nei","Centriscidae","SNI",0
"402",1950,"Snoek","Leionura atun","SNK",0
"403",1950,"Sockeye(=Red)salmon",NA,NA,0
"404",1950,"Solea spp",NA,NA,937
"405",1950,"Solenette","Buglossidium luteum","GSM",0
"406",1950,"Soles nei","Soleidae","SOX",0
"407",1950,"Solid surf clam","Spisula solida","ULO",0
"408",1950,"Sompat grunt","Pomadasys jubelini","BUR",0
"409",1950,"Southern blue whiting","Micromesistius australis","POS",0
"410",1950,"Southern bluefin tuna","Thunnus maccoyii","SBF",0
"411",1950,"Southern hake","Merluccius australis","HKN",0
"412",1950,"Southern pink shrimp","Penaeus notialis","SOP",0
"413",1950,"Southern spiny lobster","Palinurus gilchristi","SLS",0
"414",1950,"Spanish ling","Molva macrophthalma","SLI",0
"415",1950,"Spinous spider crab","Maja squinado","SCR",0
"416",1950,"Spiny butterfly ray","Gymnura altavela","RGL",0
"417",1950,"Spiny gurnard","Lepidotrigla dieuzeidei","LEP",0
"418",1950,"Spiny lobsters nei","Palinuridae","VLO",0
"419",1950,"Spiny turbot","Psettodes bennettii","PSB",0
"420",1950,"Splendid alfonsino","Beryx splendens","BYS",0
"421",1950,"Spottail mantis squillid","Squilla mantis","MTS",0
"422",1950,"Spotted flounder","Citharus linguatula","CIL",0
"423",1950,"Spotted seabass","Dicentrarchus punctatus","SPU",0
"424",1950,"Spotted wolffish","Anarhichas minor","CAS",0
"425",1950,"Squeteague(=Gray weakfish)","Cynoscion regalis","STG",0
"426",1950,"Squids nei",NA,NA,0
"427",1950,"Squillids nei","Squillidae","SQY",0
"428",1950,"Stargazers","Uranoscopus spp","URA",0
"429",1950,"Starry smooth-hound","Mustelus asterias","SDS",0
"430",1950,"Sticklebacks","Gasterosteus spp","SKB",0
"431",1950,"Stingrays nei","Dasyatis spp","STI",0
"432",1950,"Stingrays, butterfly rays nei","Dasyatidae","STT",0
"433",1950,"Stony sea urchin","Paracentrotus lividus","URM",0
"434",1950,"Stout beardfish","Polymixia nobilis","PXV",0
"435",1950,"Straightnose rabbitfish","Rhinochimaera atlantica","RCT",0
"436",1950,"Streaked gurnard","Chelidonichthys lastoviza","CTZ",0
"437",1950,"Striped bass","Morone saxatilis","STB",0
"438",1950,"Striped mullet",NA,NA,0
"439",1950,"Striped red shrimp","Aristeus varidens","ARV",0
"440",1950,"Striped venus","Chamelea gallina","SVE",0
"441",1950,"Sturgeon","Acipenser sturio","APU",0
"442",1950,"Sturgeons nei","Acipenseridae","STU",0
"443",1950,"Surf clams nei","Spisula spp","SSD",0
"444",1950,"Surmullets(=Red mullets) nei","Mullus spp","MUX",0
"445",1950,"Swallowtail seaperch","Anthias anthias","AHN",0
"446",1950,"Swimcrabs nei",NA,NA,0
"447",1950,"Swimming crabs, etc. nei","Portunidae","SWM",0
"448",1950,"Sword razor shell","Ensis siliqua","EQI",0
"449",1950,"Swordfish","Xiphias gladius","SWO",0
"450",1950,"Tadpole codling","Salilota australis","SAO",0
"451",1950,"Tangle","Laminaria digitata","LQD",0
