"","YEAR","COMMON_NAME","SPECIES_CODE","total_value"
"521",1951,"Aquatic mammals nei","MAM",0
"522",1951,"Aquatic plants nei","APL",0
"523",1951,"Arctic skate","RJG",0
"524",1951,"Argentine","ARY",0
"525",1951,"Argentine hake","HKP",0
"526",1951,"Argentine shortfin squid","SQA",0
"527",1951,"Argentines","ARG",0
"528",1951,"Aristeid shrimps nei","ARI",0
"529",1951,"Atlantic Spanish mackerel","SSM",0
"530",1951,"Atlantic blue marlin",NA,0
"531",1951,"Atlantic bonito","BON",0
"532",1951,"Atlantic ditch shrimp","PVR",0
"533",1951,"Atlantic gobies nei","GOB",0
"534",1951,"Atlantic halibut","HAL",0
"535",1951,"Atlantic lizardfish","SDR",0
"536",1951,"Atlantic pomfret","POA",0
"537",1951,"Atlantic redfishes nei","RED",0
"538",1951,"Atlantic sailfish","SAI",0
"539",1951,"Atlantic saury","SAU",0
"540",1951,"Atlantic silverside","SSA",0
"541",1951,"Atlantic thornyhead","TJX",0
"542",1951,"Atlantic tomcod","TOM",0
"543",1951,"Atlantic white marlin","WHM",0
"544",1951,"Axillary seabream","SBA",0
"545",1951,"Baird's slickhead","ALC",0
"546",1951,"Ballan wrasse","USB",0
"547",1951,"Banded carpet shell","VNR",0
"548",1951,"Barnacle","PCB",0
"549",1951,"Barracudas nei","BAR",0
"550",1951,"Bastard grunt","BGR",0
"551",1951,"Bean solen","FRL",0
"552",1951,"Benguela hake","HKB",0
"553",1951,"Bigelow's ray","JRW",0
"554",1951,"Bigeye grunt","GRB",0
"555",1951,"Bigeye thresher","BTH",0
"556",1951,"Bigeye tuna","BET",0
"557",1951,"Bigeyes,glasseyes,bulleyes nei","PRI",0
"558",1951,"Birdbeak dogfish","DCA",0
"559",1951,"Black cardinal fish","EPI",0
"560",1951,"Black goby","GBN",0
"561",1951,"Black marlin","BLM",0
"562",1951,"Black seabream","BRB",0
"563",1951,"Blackbelly rosefish","BRF",0
"564",1951,"Blackfin tuna","BLF",0
"565",1951,"Blackspot(=red) seabream",NA,0
"566",1951,"Bladder wrack","FUV",0
"567",1951,"Blue and red shrimp","ARA",0
"568",1951,"Blue butterfish","BLB",0
"569",1951,"Blue crab","CRB",0
"570",1951,"Blue shark","BSH",0
"571",1951,"Blue-leg swimcrab","IOD",0
"572",1951,"Blueback shad","BBH",0
"573",1951,"Bluefish","BLU",0
"574",1951,"Bluespotted seabream","BSC",0
"575",1951,"Bluntnose sixgill shark","SBL",0
"576",1951,"Boarfishes nei","BOR",0
"577",1951,"Boe drum","DRS",0
"578",1951,"Bogue","BOG",0
"579",1951,"Bonga shad","BOA",0
"580",1951,"Bramble shark","SHB",0
"581",1951,"Broadtail shortfin squid","SQM",0
"582",1951,"Brown ray","JAI",0
"583",1951,"Brown seaweeds","SWB",0
"584",1951,"Bullet tuna","BLT",0
"585",1951,"Butterfishes, pomfrets nei","BUX",0
"586",1951,"Canary drum (=Baardman)",NA,0
"587",1951,"Caramote prawn","TGS",0
"588",1951,"Carangids nei","CGX",0
"589",1951,"Cardinalfishes, etc. nei","APO",0
"590",1951,"Carpet shells nei","TPS",0
"591",1951,"Carragheen (Irish) moss","IMS",0
"592",1951,"Cartilaginous fishes nei","CAR",0
"593",1951,"Catsharks, etc. nei","SYX",0
"594",1951,"Catsharks, nursehounds nei","SCL",0
"595",1951,"Cephalopods nei","CEP",0
"596",1951,"Chaceon geryons nei","GER",0
"597",1951,"Chamber venus","KFA",0
"598",1951,"Clams, etc. nei","CLX",0
"599",1951,"Clupeoids nei","CLU",0
"600",1951,"Comber","CBR",0
"601",1951,"Combers nei","BAS",0
"602",1951,"Common European bittersweet","GKL",0
"603",1951,"Common carp","FCP",0
"604",1951,"Common cuttlefish","CTC",0
"605",1951,"Common dentex","DEC",0
"606",1951,"Common dolphinfish","DOL",0
"607",1951,"Common eagle ray","MYL",0
"608",1951,"Common mora","RIB",0
"609",1951,"Common octopus","OCC",0
"610",1951,"Common pandora","PAC",0
"611",1951,"Common periwinkle","PEE",0
"612",1951,"Common prawn","CPR",57
"613",1951,"Common shrimp","CSH",0
"614",1951,"Common spiny lobster","SLO",0
"615",1951,"Common squids nei","SQC",0
"616",1951,"Common stingray","JDP",0
"617",1951,"Common two-banded seabream","CTB",0
"618",1951,"Copper shark","BRO",0
"619",1951,"Crangonid shrimps nei","CRN",9877
"620",1951,"Craylets, squat lobsters",NA,0
"621",1951,"Crest-tail catsharks nei","GAU",0
"622",1951,"Crevalle jack","CVJ",0
"623",1951,"Croakers, drums nei","CDX",0
"624",1951,"Crocodile shark","PSK",0
"625",1951,"Crucian carp","FCC",0
"626",1951,"Cusk-eels nei","CEX",0
"627",1951,"Cuttlefish,bobtail squids nei",NA,0
"628",1951,"Cyprinids nei","FCY",0
"629",1951,"Damselfish","CMK",0
"630",1951,"Dealfishes","TRP",0
"631",1951,"Deep-sea red crab","KEF",0
"632",1951,"Deep-water Cape hake","HKO",0
"633",1951,"Deep-water rose shrimp","DPS",0
"634",1951,"Delta prawn","PIQ",0
"635",1951,"Demersal percomorphs nei","DPX",0
"636",1951,"Dentex nei","DEX",0
"637",1951,"Devil fish","RMM",0
"638",1951,"Diadromous clupeoids nei","DCX",0
